file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmbWPFbBJwgXz8pg5NEZsR1w1dCFdujUNNDpZ25b1F4y4S_output.musicxml,203,592,294,557,129,492,134,120,9,1,92,20,34
QmbWTTQKiQrVYQgMBNLuZp6kLYUuqU5b5t3dXXx7KoD3UF_output.musicxml,138,522,318,339,114,301,95,74,5,0,95,48,47
QmbX9gRrBHjvkbMH8xhbePyYrUnDNjVVa7T5HTq966CYhe_output.musicxml,273,1604,782,1374,253,845,164,145,12,9,305,184,129
QmbxQes2w8YX4AGz7Er8LGppLtGiiJwmmWMTBeP1nMzyj7_output.musicxml,170,634,318,458,170,390,131,130,4,6,180,146,58
QmbYaavtirTxQMBZx2TFxgbZSPJ24cmGxZytAYdwXz6c1j_output.musicxml,89,350,209,238,51,158,60,43,5,1,13,8,15
QmbyLzCAJRH8LgyCz4AiwBxqGAgZhK8ZumMX2UX1Z7krhy_output.musicxml,131,50,82,46,49,133,44,30,9,2,0,0,4
QmbYNH8HjXh8a9E61jPJtSibjHL6XRMeSoZk6hy2hdPQFm_output.musicxml,133,510,302,326,124,331,86,86,1,4,148,118,33
QmbZmDbmVAuf1iu5X6msyt6AYdiH5dhBXc5TUtwtX5Lsvy_output.musicxml,205,566,462,646,98,354,131,82,1,1,50,52,29
QmbZWBtrUnqUM84Wfh3CCUysieCY6xkg3aBkqvgj7DvQ18_output.musicxml,177,592,333,440,147,351,130,114,3,4,150,70,45
Qmc1JAC9gXBt9WKpujDEvsZ8qTkAeyrdEYPYCexnSLHocb_output.musicxml,75,1022,408,937,56,494,29,20,6,0,15,0,23
Qmc1na6jbBFLNd2UAfHdTkP84YXPy7DzmLMgKWjeRvWo5W_output.musicxml,143,508,311,438,132,404,125,118,4,0,0,0,40
Qmc26jWa9kgkgqDrCCSW61sXKmGJ5asWaVPegzpaRT6sFN_output.musicxml,88,380,197,288,82,243,54,51,2,2,90,42,31
Qmc2AKdBrNLYyKtBCYcaJKZPZ82cfonWTVkoqbPHSeUGyh_output.musicxml,98,348,213,242,96,201,51,47,5,2,129,44,31
Qmc2ihdhQcBbMfTV14iShRF7Gb8jT7WKtXufiCBUprmzWx_output.musicxml,83,844,263,958,47,188,44,40,12,1,28,14,11
Qmc3VpCjyoNBqeFGuRQdRxaL85Hid7g1kRJbjapMib3YAq_output.musicxml,137,584,355,399,138,318,97,98,5,4,191,118,64
Qmc5TnGnEdFvEhn18iv674kcRfFbUaJojxjw92aFmyDCK3_output.musicxml,145,558,269,339,160,390,82,77,1,0,218,110,63
Qmc6JkqAbgYs7xvXgBFk5K6VesW97oGZDYkyx32rwAcbP6_output.musicxml,128,312,237,429,77,224,96,83,3,0,35,0,24
Qmc6YxL5z7VgNWP7QJh7PUBJ74g1bC4m6w2LDH3vjhhmB6_output.musicxml,141,90,93,85,59,171,41,3,4,0,5,0,8
Qmc8MgzEUPFq4YHUPWkgF1tsv1CNe51NxMq9huMQiXjT7L_output.musicxml,169,534,320,380,108,309,128,98,6,1,30,2,26
Qmc8pcxUjTchbSAPnb5eFXC9faQ8JzDeeEmwVAStTz4FN9_output.musicxml,183,70,88,79,57,134,57,42,18,6,5,32,2
